"row ID","gas","before1","before2","peak5","sum5","peak24","sum24","mean15","hour","FH","T","Q","U","peak5T","diffT","std_day","std_year","kwh","kwhpeak5","day_year","day_week","next_day_week"
"Row0",162.0,168.0,171.0,172.0,839.0,172.0,2954.0,95.27,14.0,50.0,-26.0,24.0,74.0,-47.0,-4.0,22.27,102.68,37.7158333333,39.595,13.0,3.0,4.0
"Row1",153.0,162.0,168.0,172.0,838.0,172.0,2966.0,95.41,15.0,50.0,-24.0,17.0,74.0,-47.0,-2.0,12.23,91.9,37.6066666667,39.595,13.0,3.0,4.0
"Row2",153.0,153.0,162.0,172.0,826.0,172.0,2972.0,95.53,16.0,50.0,-22.0,4.0,78.0,-42.0,-2.0,14.94,91.33,37.1766666667,39.595,13.0,3.0,4.0
"Row3",153.0,153.0,153.0,171.0,807.0,172.0,2970.0,95.62,17.0,50.0,-22.0,0.0,84.0,-35.0,0.0,13.59,95.65,32.9275,39.1225,13.0,3.0,4.0
"Row4",152.0,153.0,153.0,168.0,789.0,172.0,2971.0,95.73,18.0,50.0,-22.0,0.0,88.0,-30.0,0.0,11.52,89.32,28.3183333333,38.8158333333,13.0,3.0,4.0
"Row5",150.0,152.0,153.0,162.0,773.0,172.0,2973.0,95.84,19.0,50.0,-21.0,0.0,90.0,-26.0,-1.0,10.83,84.38,25.6725,37.7158333333,13.0,3.0,4.0
"Row6",149.0,150.0,152.0,153.0,761.0,172.0,2975.0,95.94,20.0,50.0,-19.0,0.0,89.0,-24.0,-2.0,9.48,82.32,20.2316666667,37.6066666667,13.0,3.0,4.0
"Row7",149.0,149.0,150.0,153.0,757.0,172.0,2976.0,96.04,21.0,50.0,-18.0,0.0,90.0,-22.0,-1.0,7.97,87.24,11.245,37.1766666667,13.0,3.0,4.0
"Row8",72.0,149.0,149.0,153.0,753.0,172.0,2978.0,96.14,22.0,50.0,-16.0,0.0,90.0,-22.0,-2.0,-40.81,6.13,11.0258333333,32.9275,13.0,3.0,4.0
"Row9",183.0,177.0,170.0,177.0,612.0,177.0,3008.0,92.31,10.0,40.0,-60.0,44.0,78.0,-80.0,-8.0,23.62,129.01,39.4408333333,36.0091666667,26.0,2.0,3.0
"Row10",182.0,183.0,177.0,183.0,708.0,183.0,3040.0,92.43,11.0,40.0,-52.0,82.0,71.0,-80.0,-8.0,20.92,131.24,40.7183333333,39.4408333333,26.0,2.0,3.0
"Row11",174.0,182.0,183.0,183.0,801.0,183.0,3072.0,92.51,12.0,40.0,-47.0,123.0,69.0,-79.0,-5.0,16.2,123.93,40.0925,40.7183333333,26.0,2.0,3.0
"Row12",177.0,174.0,182.0,183.0,886.0,183.0,3093.0,92.59,13.0,40.0,-39.0,127.0,67.0,-74.0,-8.0,20.35,126.49,40.5675,40.7183333333,26.0,2.0,3.0
"Row13",167.0,177.0,174.0,183.0,893.0,183.0,3117.0,92.69,14.0,30.0,-42.0,94.0,71.0,-68.0,3.0,10.87,106.42,39.7683333333,40.7183333333,26.0,2.0,3.0
"Row14",163.0,167.0,177.0,183.0,883.0,183.0,3138.0,92.78,15.0,40.0,-48.0,52.0,74.0,-60.0,6.0,7.36,100.87,39.1791666667,40.7183333333,26.0,2.0,3.0
"Row15",161.0,163.0,167.0,182.0,863.0,183.0,3152.0,92.86,16.0,40.0,-53.0,17.0,76.0,-52.0,5.0,5.86,101.57,38.2266666667,40.7183333333,26.0,2.0,3.0
"Row16",162.0,161.0,163.0,177.0,842.0,183.0,3163.0,92.92,17.0,40.0,-58.0,0.0,78.0,-53.0,5.0,6.3,103.67,36.1116666667,40.5675,26.0,2.0,3.0
"Row17",161.0,162.0,161.0,177.0,830.0,183.0,3176.0,92.99,18.0,30.0,-61.0,0.0,79.0,-58.0,3.0,4.17,100.0,32.3125,40.5675,26.0,2.0,3.0
"Row18",159.0,161.0,162.0,167.0,814.0,183.0,3187.0,93.06,19.0,30.0,-64.0,0.0,80.0,-61.0,3.0,1.8,96.01,29.175,39.7683333333,26.0,2.0,3.0
"Row19",161.0,159.0,161.0,163.0,806.0,183.0,3196.0,93.14,20.0,30.0,-64.0,0.0,83.0,-64.0,0.0,4.29,87.22,25.3933333333,39.1791666667,26.0,2.0,3.0
"Row20",161.0,161.0,159.0,162.0,804.0,183.0,3205.0,93.22,21.0,20.0,-62.0,0.0,74.0,-64.0,-2.0,2.9,66.02,21.4091666667,38.2266666667,26.0,2.0,3.0
"Row21",143.0,161.0,161.0,162.0,804.0,183.0,3214.0,93.29,22.0,20.0,-61.0,0.0,75.0,-64.0,-1.0,8.3,81.8,18.51,36.1116666667,26.0,2.0,3.0
"Row22",135.0,143.0,161.0,161.0,785.0,183.0,3267.0,93.45,23.0,10.0,-77.0,0.0,80.0,-64.0,16.0,2.52,87.24,12.5566666667,32.3125,26.0,2.0,3.0
"Row23",89.0,135.0,143.0,161.0,759.0,183.0,3320.0,93.67,24.0,10.0,-84.0,0.0,86.0,-77.0,7.0,-6.16,19.34,11.3675,29.175,26.0,2.0,3.0
"Row24",93.0,89.0,135.0,161.0,689.0,183.0,3326.0,93.75,1.0,10.0,-93.0,0.0,81.0,-84.0,9.0,-1.69,45.79,12.3033333333,25.3933333333,27.0,3.0,4.0
"Row25",89.0,93.0,89.0,161.0,621.0,183.0,3335.0,93.83,2.0,10.0,-90.0,0.0,85.0,-93.0,-3.0,-3.91,35.78,12.3608333333,21.4091666667,27.0,3.0,4.0
"Row26",85.0,89.0,93.0,143.0,549.0,183.0,3345.0,93.88,3.0,10.0,-87.0,0.0,85.0,-93.0,-3.0,-9.66,32.1,12.4183333333,18.51,27.0,3.0,4.0
"Row27",94.0,85.0,89.0,135.0,491.0,183.0,3343.0,93.94,4.0,10.0,-83.0,0.0,82.0,-93.0,-4.0,-1.1,44.38,12.3458333333,12.5566666667,27.0,3.0,4.0
"Row28",91.0,94.0,85.0,94.0,450.0,183.0,3351.0,94.03,5.0,20.0,-66.0,0.0,83.0,-93.0,-17.0,-3.07,38.83,12.3458333333,12.4183333333,27.0,3.0,4.0
