"row ID","gas","before1","before2","peak5","sum5","peak24","sum24","mean15","hour","FH","T","Q","U","peak5T","diffT","std_day","std_year","kwh","kwhpeak5","day_year","day_week","next_day_week"
"Row467",140.0,191.0,143.0,192.0,831.0,192.0,2977.0,65.2,13.0,30.0,-5.0,124.0,61.0,-85.0,-6.0,4.7,87.22,40.3641666667,40.0533333333,16.0,3.0,4.0
"Row468",138.0,140.0,191.0,192.0,800.0,192.0,2979.0,65.48,14.0,40.0,-8.0,84.0,60.0,-71.0,3.0,2.92,78.02,39.8808333333,40.3641666667,16.0,3.0,4.0
"Row469",139.0,157.0,158.0,189.0,816.0,192.0,2940.0,71.53,18.0,0.0,-49.0,0.0,92.0,-54.0,-5.0,2.12,67.55,32.045,42.5108333333,17.0,4.0,5.0
"Row470",133.0,143.0,147.0,147.0,713.0,192.0,2976.0,72.46,23.0,20.0,-27.0,0.0,84.0,-49.0,-16.0,74.02,5.0,14.7825,32.045,17.0,4.0,5.0
"Row471",97.0,133.0,143.0,147.0,707.0,192.0,3045.0,72.75,24.0,20.0,-22.0,0.0,82.0,-43.0,-5.0,6.81,37.03,10.3858333333,28.5225,17.0,4.0,5.0
"Row472",33.0,97.0,133.0,147.0,660.0,192.0,3089.0,72.94,1.0,30.0,-16.0,0.0,72.0,-43.0,-6.0,-31.24,-13.42,12.0983333333,26.0725,18.0,5.0,6.0
"Row473",52.0,33.0,97.0,147.0,553.0,192.0,3069.0,72.95,2.0,30.0,-19.0,0.0,77.0,-43.0,3.0,-17.0,-5.91,12.5475,24.9183333333,18.0,5.0,6.0
"Row474",72.0,52.0,33.0,143.0,458.0,192.0,3051.0,73.0,3.0,30.0,-20.0,0.0,81.0,-43.0,1.0,1.04,3.1,12.1383333333,24.1116666667,18.0,5.0,6.0
"Row475",65.0,72.0,52.0,133.0,387.0,192.0,3048.0,73.11,4.0,30.0,-18.0,0.0,82.0,-27.0,-2.0,-7.06,3.69,10.4675,14.7825,18.0,5.0,6.0
"Row476",136.0,191.0,72.0,191.0,451.0,192.0,3026.0,73.71,9.0,40.0,-17.0,9.0,85.0,-21.0,-4.0,-2.26,62.18,33.7616666667,28.5633333333,18.0,5.0,6.0
"Row477",133.0,151.0,136.0,191.0,614.0,192.0,2994.0,74.11,11.0,60.0,-11.0,41.0,82.0,-21.0,-2.0,-1.95,81.52,39.9175,37.8958333333,18.0,5.0,6.0
"Row478",91.0,168.0,138.0,170.0,758.0,186.0,3000.0,91.47,24.0,20.0,-63.0,0.0,88.0,-69.0,-6.0,3.21,22.6,10.5408333333,28.9458333333,22.0,2.0,3.0
"Row479",65.0,91.0,168.0,170.0,701.0,186.0,3047.0,91.64,1.0,10.0,-55.0,0.0,87.0,-69.0,-8.0,-2.2,-6.71,10.3508333333,26.4175,23.0,3.0,4.0
"Row480",53.0,65.0,91.0,170.0,632.0,186.0,3062.0,91.75,2.0,20.0,-46.0,0.0,89.0,-69.0,-9.0,-18.59,-5.6,10.18,24.5075,23.0,3.0,4.0
"Row481",51.0,53.0,65.0,168.0,515.0,186.0,3057.0,91.81,3.0,30.0,-63.0,0.0,89.0,-69.0,17.0,-23.08,-14.43,10.1775,21.91,23.0,3.0,4.0
"Row482",58.0,51.0,53.0,168.0,428.0,186.0,3047.0,91.85,4.0,20.0,-68.0,0.0,90.0,-69.0,5.0,-16.79,-3.06,10.3083333333,13.48,23.0,3.0,4.0
"Row483",66.0,58.0,51.0,91.0,318.0,186.0,3055.0,91.89,5.0,20.0,-73.0,0.0,88.0,-68.0,5.0,-4.03,-7.02,12.3308333333,10.5408333333,23.0,3.0,4.0
"Row484",77.0,66.0,58.0,66.0,293.0,186.0,3060.0,91.98,6.0,20.0,-70.0,0.0,90.0,-73.0,-3.0,1.03,11.67,17.3483333333,12.3308333333,23.0,3.0,4.0
"Row485",135.0,77.0,66.0,77.0,305.0,186.0,3073.0,92.1,7.0,20.0,-70.0,0.0,88.0,-73.0,0.0,29.59,36.43,23.015,17.3483333333,23.0,3.0,4.0
"Row486",199.0,135.0,77.0,135.0,387.0,186.0,3050.0,92.35,8.0,20.0,-70.0,1.0,91.0,-73.0,0.0,30.72,139.61,27.4108333333,23.015,23.0,3.0,4.0
"Row487",159.0,199.0,135.0,199.0,535.0,199.0,3118.0,92.57,9.0,20.0,-56.0,12.0,86.0,-73.0,-14.0,10.62,58.51,33.9041666667,27.4108333333,23.0,3.0,4.0
